Rank,Rider,Rank.1,Rider No.,Team,Times,Gap,B,P,year,edition
24,LUIS LEÓN SANCHEZ,24,147,ASTANA PRO TEAM,03h 32' 03'',-,-,-,2020.0,107.0
25,TOM DUMOULIN,25,14,TEAM JUMBO - VISMA,03h 32' 03'',-,-,-,2020.0,107.0
26,MICHAEL GOGL,26,194,NTT PRO CYCLING TEAM,03h 32' 03'',-,-,-,2020.0,107.0
27,PRIMOŽ ROGLIC,27,11,TEAM JUMBO - VISMA,03h 32' 03'',-,-,-,2020.0,107.0
28,NAIRO QUINTANA,28,81,TEAM ARKEA - SAMSIC,03h 32' 03'',-,-,-,2020.0,107.0
29,ENRIC MAS,29,94,MOVISTAR TEAM,03h 32' 03'',-,-,-,2020.0,107.0
30,MARC SOLER,30,97,MOVISTAR TEAM,03h 32' 03'',-,-,-,2020.0,107.0
31,RIGOBERTO URAN,31,71,EF PRO CYCLING,03h 32' 03'',-,-,-,2020.0,107.0
32,CYRIL GAUTIER,32,215,B&B HOTELS - VITAL CONCEPT P / B KTM,03h 32' 03'',-,-,-,2020.0,107.0
33,VALENTIN MADOUAS,33,56,GROUPAMA - FDJ,03h 32' 03'',-,-,-,2020.0,107.0
34,RUDY MOLARD,34,57,GROUPAMA - FDJ,03h 32' 03'',-,-,-,2020.0,107.0
35,ION IZAGUIRRE INSAUSTI,35,145,ASTANA PRO TEAM,03h 32' 03'',-,-,-,2020.0,107.0
36,GEORGE BENNETT,36,12,TEAM JUMBO - VISMA,03h 32' 03'',-,-,-,2020.0,107.0
37,GORKA IZAGUIRRE INSAUSTI,37,144,ASTANA PRO TEAM,03h 32' 03'',-,-,-,2020.0,107.0
38,OMAR FRAILE,38,142,ASTANA PRO TEAM,03h 32' 03'',-,-,-,2020.0,107.0
39,MATTHIEU LADAGNOUS,39,55,GROUPAMA - FDJ,03h 32' 03'',-,-,-,2020.0,107.0
40,SEPP KUSS,40,16,TEAM JUMBO - VISMA,03h 32' 03'',-,-,-,2020.0,107.0
41,STEFAN KÜNG,41,54,GROUPAMA - FDJ,03h 32' 03'',-,-,-,2020.0,107.0
42,MICHAL KWIATKOWSKI,42,5,INEOS GRENADIERS,03h 32' 18'',+ 00h 00' 15'',-,-,2020.0,107.0
43,TADEJ POGACAR,43,131,UAE TEAM EMIRATES,03h 33' 24'',+ 00h 01' 21'',-,-,2020.0,107.0
44,SONNY COLBRELLI,44,64,BAHRAIN - MCLAREN,03h 33' 24'',+ 00h 01' 21'',-,-,2020.0,107.0
45,MATTEO TRENTIN,45,117,CCC TEAM,03h 33' 24'',+ 00h 01' 21'',-,-,2020.0,107.0
46,MIKEL LANDA,46,61,BAHRAIN - MCLAREN,03h 33' 24'',+ 00h 01' 21'',-,-,2020.0,107.0
47,JOSÉ ROJAS,47,96,MOVISTAR TEAM,03h 33' 24'',+ 00h 01' 21'',-,-,2020.0,107.0
48,CARLOS VERONA,48,98,MOVISTAR TEAM,03h 33' 24'',+ 00h 01' 21'',-,-,2020.0,107.0
49,NELSON OLIVEIRA,49,95,MOVISTAR TEAM,03h 33' 24'',+ 00h 01' 21'',-,-,2020.0,107.0
50,DARIO CATALDO,50,92,MOVISTAR TEAM,03h 33' 24'',+ 00h 01' 21'',-,-,2020.0,107.0
51,RICHARD CARAPAZ,51,3,INEOS GRENADIERS,03h 33' 24'',+ 00h 01' 21'',-,-,2020.0,107.0
52,GREG VAN AVERMAET,52,111,CCC TEAM,03h 33' 24'',+ 00h 01' 21'',-,-,2020.0,107.0
53,FABIO ARU,53,132,UAE TEAM EMIRATES,03h 33' 24'',+ 00h 01' 21'',-,-,2020.0,107.0
